MESI,Independent,2,26157.614285714284,26.11857142857141,2.7628571428571456,9290.0
MESI,Reuse,2,23471.914285714287,23.42428571428572,2.4871428571428575,9233.42857142857
MESI,Independent,4,26324.1375,26.28249999999999,2.780000000000003,9283.0
MESI,Reuse,4,23442.0,23.39625000000001,2.4887500000000005,9233.5
MESI,Independent,6,26675.68888888889,26.632222222222218,2.8155555555555574,9299.0
MESI,Reuse,6,23561.0,23.513333333333335,2.4999999999999996,9233.555555555555
MSI,Independent,2,26157.614285714284,26.11857142857141,2.7628571428571456,9290.0
MSI,Reuse,2,23471.914285714287,23.42428571428572,2.4871428571428575,9233.42857142857
MSI,Independent,4,26324.1375,26.28249999999999,2.780000000000003,9283.0
MSI,Reuse,4,23442.0,23.39625000000001,2.4887500000000005,9233.5
MSI,Independent,6,26675.68888888889,26.632222222222218,2.8155555555555574,9299.0
MSI,Reuse,6,23561.0,23.513333333333335,2.4999999999999996,9233.555555555555
MI,Independent,2,26157.614285714284,26.11857142857141,2.7628571428571456,9290.0
MI,Reuse,2,23471.914285714287,23.42428571428572,2.4871428571428575,9233.42857142857
MI,Independent,4,26324.1375,26.28249999999999,2.780000000000003,9283.0
MI,Reuse,4,23442.0,23.39625000000001,2.4887500000000005,9233.5
MI,Independent,6,26675.68888888889,26.632222222222218,2.8155555555555574,9299.0
MI,Reuse,6,23561.0,23.513333333333335,2.4999999999999996,9233.555555555555
